,Type,Name,Amount,NPV
17,Operating Expenses,Cash on hand reserve,"[       0.          7777614.07424549        0.           428299.75123717
        0.         10387395.47443767  6443998.07690655  2293155.76439453
   863847.32234874  4839912.99711947   485933.23137121  2100311.71955659
   176427.0644384     80375.61211083    33771.90451025    99382.01423339
        0.           310770.33145815   238768.3677984    188182.91034953
    92531.3167264     46340.74114829   112378.41762719        0.
   324665.50439638   253135.90494061   203038.90559377   107892.3617202
    62224.09120499   128801.82580963        0.           342224.61084937
   271292.14478669        0.        ]",0.01922004332110714
18,Operating Expenses,Property insurance,"[       0.                0.                0.         12229407.85930484
 36029765.01256759 22973360.10500193 14753455.61682901  8386318.81211195
  5300974.54137101  3095949.40594204  1280157.27887004   918610.3003962
   660435.92885442   435947.65559151   211459.38232859  2494656.83742758
  1786220.19041804  1280157.27887002   918610.30039618   660435.92885441
   435947.6555915    211459.38232859  2494656.83742758  1786220.19041804
  1280157.27887003   918610.3003962    660435.92885443   435947.65559152
   211459.3823286   2494656.8374276   1786220.19041805  1280157.27887004
   918610.30039621   518465.82253237]",0.06400390078338306
19,Financing cash outflow,Electrical Export system,"[4.63970957e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.23047107716816426
20,Operating Expenses,Electrolysis System Fixed O&M Cost,"[       0.                0.                0.          6016222.89871305
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070834
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 27987087.29070829 27987087.29070829 27987087.29070829
 27987087.29070829 21970864.39199519]",0.41706581341064214
21,Operating Expenses,Water,"[       0.                0.                0.          3485762.23982721
 16766873.69577794 17336946.25927842 17926403.30077589 18535899.01288877
 19166119.76164297 19817767.9997681  20491572.99116669 21188285.44867955
 21908688.25855498 22653583.07486228 23423806.40619551 24220213.52896976
 25043702.61747672 25895187.93271183 26775623.95242985 27685994.64667571
 28627318.8400191  29600647.53043719 30607069.25154915 31647710.07261623
 32723733.5985417  33836340.96987089 34986776.22502571 36176326.30030475
 37406321.02988316 38678135.82693002 39993191.68360834 41352960.53330956
 42758962.56953637 34708602.63140751]",0.41995379154236034
22,Financing cash outflow,Income taxes payable,"[       0.                0.                0.                0.
        0.                0.                0.                0.
        0.         33061414.95841417 40034600.87054205 64903176.02618203
 66558072.36110917 67002173.16339473 66861700.95944743 64974680.55237489
 57734842.1491693  61118663.72298005 63464995.09531672 65070993.69680686
 65464533.57744337 65271782.05406762 63330703.88938295 56034970.63021639
 59360996.06859545 61647566.53502739 63191772.5185396  63521419.05716584
 63262601.69531022 61253211.35287992 53886843.66354703 57139833.0555862
 59350883.73527349 46791171.94345308]",0.7402824827014498
23,Operating Expenses,Wind and Electrical Export Fixed O&M Cost,"[       0.                0.                0.         10929288.15518808
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761461
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 50842355.20761452 50842355.20761452 50842355.20761452
 50842355.20761452 39913067.05242635]",0.7576568440338011
24,Financing cash outflow,Electrolysis System,"[1.14287017e+09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.71430526e+08 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.71430526e+08
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.71430526e+08 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.71430526e+08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",0.9083276105229907
25,Financing cash outflow,Wind System,"[2.32922289e+09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1.1570088585461944
26,Financing cash outflow,Repayment of debt,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -2.51363773e+09]",1.2486143500436317
27,Financing cash outflow,Interest expense,"[0.00000000e+00 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 1.25681886e+08 1.25681886e+08 1.25681886e+08
 1.25681886e+08 9.86647755e+07]",2.0467933059442376
28,Financing cash outflow,Dividends paid,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.20033639e+06
 -5.51650550e+08 -4.05287561e+08 -3.31902981e+08 -3.08535954e+08
 -1.28168569e+08 -2.37544073e+08 -2.36066854e+08 -2.09248735e+08
 -2.09055495e+08 -2.08187039e+08 -2.07828380e+08 -3.51396601e+07
 -2.14388086e+08 -2.09754339e+08 -2.06961121e+08 -2.04753511e+08
 -2.03738787e+08 -2.03228889e+08 -3.03837847e+07 -2.09470512e+08
 -2.04669566e+08 -2.01703465e+08 -1.99317095e+08 -1.98117533e+08
 -1.97416512e+08 -2.43737872e+07 -2.03256175e+08 -1.98243943e+08
 -1.95059370e+08  0.00000000e+00]",3.071146152672766
29,Operating Revenue,Take or pay revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
30,Operating Revenue,Incidental revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
31,Financing cash inflow,One time capital incentive,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
32,Financing cash inflow,Annual operating incentives,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
33,Operating Revenue,Cash on hand recovery,"[        0.                 0.                 0.
         0.         -11326848.02584045         0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.           -593732.16347568         0.
         0.                 0.                 0.
         0.                 0.           -580294.09042576
         0.                 0.                 0.
         0.                 0.                 0.
   -563312.37330534         0.                 0.
 -25628485.78827265]",0.01922004332110714
34,Operating Revenue,Sale of non-depreciable assets,"[       0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.         44029061.92362976]",0.021870820084688006
35,Financing cash inflow,Monetized tax losses,"[ 0.00000000e+00 -3.23505176e+07 -3.23505176e+07 -5.98720411e+07
 -2.94761222e+08 -1.57626144e+08 -7.26677196e+07 -3.93922093e+07
 -2.65709179e+07  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00]",0.3554599541672164
36,Financing cash inflow,Inflow of debt,"[2.51363773e+09 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",1.2486143500436317
37,Financing cash inflow,Inflow of equity,"[1.46141728e+09 1.01108983e+08 9.33313689e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.29177584e+09]",1.9609316628144842
38,Operating Revenue,Hydrogen sales,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.08099602e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 5.02872492e+08 5.02872492e+08 5.02872492e+08
 5.02872492e+08 3.94772889e+08]",7.493846091801229
