,Comment,P_nodes,P_losses,P_losses_percent,s_NR,i_NR,v_NR
10,,"[[36.568+2.36130439j]
 [10.745+0.62921048j]
 [46.366+2.12253973j]
 [32.59 +1.47375036j]
 [21.075+1.91459727j]
 [21.86 +0.48251571j]
 [17.052+0.15551069j]]",(0.0008068401408394266+0.002978550503256905j),(0.0004331888051066417+0.0325901171978066j),"[[-9.31280000e-05-4.56876558e-06j]
 [ 1.82841122e-05+1.18080259e-06j]
 [ 5.37250631e-06+3.14613700e-07j]
 [ 2.31831765e-05+1.06150636e-06j]
 [ 1.62950430e-05+7.36932733e-07j]
 [ 1.05375402e-05+9.57352482e-07j]
 [ 1.09300132e-05+2.41275605e-07j]
 [ 8.52601198e-06+7.77713925e-08j]]","[[-9.31280e-05+4.56876558e-06j]
 [ 1.82840e-05-1.18065220e-06j]
 [ 5.37250e-06-3.14605240e-07j]
 [ 2.31830e-05-1.06126987e-06j]
 [ 1.62950e-05-7.36875179e-07j]
 [ 1.05375e-05-9.57298637e-07j]
 [ 1.09300e-05-2.41257853e-07j]
 [ 8.52600e-06-7.77553435e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000664+7.79631763e-06j]
 [1.00000126+1.50062616e-06j]
 [1.00000806+9.83181673e-06j]
 [1.00000279+3.40586671e-06j]
 [1.00000424+4.72439959e-06j]
 [1.00000125+1.59660156e-06j]
 [1.00000142+1.86938939e-06j]]"
11,,"[[33.325+0.56806364j]
 [13.906+1.26362473j]
 [46.609+1.49639215j]
 [28.175+0.34577988j]
 [29.141+2.19877382j]
 [ 8.41 +0.45039442j]
 [10.541+0.62578045j]]",(0.0007937737233589814+0.0029610397125936494j),(0.0004666320159423078+0.042612189711017275j),"[[-8.50535000e-05-3.47345581e-06j]
 [ 1.66625929e-05+2.84156236e-07j]
 [ 6.95301063e-06+6.31826600e-07j]
 [ 2.33046782e-05+7.48434795e-07j]
 [ 1.40875320e-05+1.72932877e-07j]
 [ 1.45705766e-05+1.09948960e-06j]
 [ 4.20500197e-06+2.25199844e-07j]
 [ 5.27050459e-06+3.12896378e-07j]]","[[-8.50535e-05+3.47345581e-06j]
 [ 1.66625e-05-2.84031820e-07j]
 [ 6.95300e-06-6.31812363e-07j]
 [ 2.33045e-05-7.48196075e-07j]
 [ 1.40875e-05-1.72889941e-07j]
 [ 1.45705e-05-1.09938691e-06j]
 [ 4.20500e-06-2.25197211e-07j]
 [ 5.27050e-06-3.12890224e-07j]]","[[1.        +0.00000000e+00j]
 [1.0000057 +7.36968670e-06j]
 [1.0000017 +1.89310910e-06j]
 [1.00000797+9.98776552e-06j]
 [1.00000231+3.01940708e-06j]
 [1.00000576+6.61306725e-06j]
 [1.0000005 +5.99580660e-07j]
 [1.00000094+1.11196950e-06j]]"
12,,"[[ 6.974+0.27569238j]
 [14.344+0.09561317j]
 [42.895+0.61474226j]
 [ 7.323+0.58892553j]
 [17.198+0.48567069j]
 [23.896+2.20411861j]
 [ 5.33 +0.51391438j]]",(0.0004238889217447195+0.00246543228616547j),(0.00035934971324577783+0.051592360868305834j),"[[-5.89800000e-05-2.38838977e-06j]
 [ 3.48700407e-06+1.37851645e-07j]
 [ 7.17201121e-06+4.78216093e-08j]
 [ 2.14476508e-05+3.07573152e-07j]
 [ 3.66150218e-06+2.94465683e-07j]
 [ 8.59902656e-06+2.42870935e-07j]
 [ 1.19480160e-05+1.10208069e-06j]
 [ 2.66500118e-06+2.56958774e-07j]]","[[-5.89800e-05+2.38838977e-06j]
 [ 3.48700e-06-1.37846189e-07j]
 [ 7.17200e-06-4.78065847e-08j]
 [ 2.14475e-05-3.07371127e-07j]
 [ 3.66150e-06-2.94462764e-07j]
 [ 8.59900e-06-2.42835343e-07j]
 [ 1.19480e-05-1.10205930e-06j]
 [ 2.66500e-06-2.56957191e-07j]]","[[1.        +0.00000000e+00j]
 [1.00000123+1.51606708e-06j]
 [1.00000158+2.08438074e-06j]
 [1.00000716+9.31682584e-06j]
 [1.00000065+7.44504068e-07j]
 [1.0000032 +4.04853457e-06j]
 [1.00000149+1.65237916e-06j]
 [1.0000005 +5.45998823e-07j]]"
13,,"[[15.783+0.73131056j]
 [31.848+1.06154531j]
 [33.799+0.55935798j]
 [17.792+0.32206217j]
 [21.276+0.99106529j]
 [13.038+0.94823109j]
 [ 8.722+0.83092974j]]",(0.00046241696084337036+0.002517060081635325j),(0.0003250551539058403+0.04623122586026239j),"[[-7.11290000e-05-2.72130233e-06j]
 [ 7.89152087e-06+3.65683237e-07j]
 [ 1.59240553e-05+5.30846803e-07j]
 [ 1.68995936e-05+2.79804429e-07j]
 [ 8.89601278e-06+1.61048210e-07j]
 [ 1.06380407e-05+4.95587190e-07j]
 [ 6.51900474e-06+4.74121889e-07j]
 [ 4.36100316e-06+4.15469107e-07j]]","[[-7.11290e-05+2.72130233e-06j]
 [ 7.89150e-06-3.65655278e-07j]
 [ 1.59240e-05-5.30772657e-07j]
 [ 1.68995e-05-2.79678991e-07j]
 [ 8.89600e-06-1.61031085e-07j]
 [ 1.06380e-05-4.95532644e-07j]
 [ 6.51900e-06-4.74115544e-07j]
 [ 4.36100e-06-4.15464871e-07j]]","[[1.        +0.00000000e+00j]
 [1.0000028 +3.41307251e-06j]
 [1.00000363+4.53537247e-06j]
 [1.00000566+7.32888588e-06j]
 [1.00000147+1.89833426e-06j]
 [1.00000406+4.93848553e-06j]
 [1.00000079+9.15665771e-07j]
 [1.00000081+8.94289523e-07j]]"
14,,"[[ 9.889+0.16654273j]
 [19.014+0.54842646j]
 [21.374+0.27934699j]
 [14.529+0.11236513j]
 [15.888+0.38977363j]
 [12.439+0.92651018j]
 [ 3.443+0.23618531j]]",(0.00020263633747674703+0.0021689845843435585j),(0.0002098205946371221+0.0815668257055608j),"[[-4.82880000e-05-1.32862647e-06j]
 [ 4.94450818e-06+8.32823181e-08j]
 [ 9.50701972e-06+2.74239650e-07j]
 [ 1.06870374e-05+1.39723653e-07j]
 [ 7.26450852e-06+5.61939798e-08j]
 [ 7.94402267e-06+1.94917183e-07j]
 [ 6.21950431e-06+4.63260869e-07j]
 [ 1.72150049e-06+1.18093312e-07j]]","[[-4.8288e-05+1.32862647e-06j]
 [ 4.9445e-06-8.32713625e-08j]
 [ 9.5070e-06-2.74213229e-07j]
 [ 1.0687e-05-1.39673494e-07j]
 [ 7.2645e-06-5.61825636e-08j]
 [ 7.9440e-06-1.94886813e-07j]
 [ 6.2195e-06-4.63255092e-07j]
 [ 1.7215e-06-1.18092654e-07j]]","[[1.        +0.00000000e+00j]
 [1.00000169+2.18726013e-06j]
 [1.00000215+2.71703048e-06j]
 [1.00000356+4.64687487e-06j]
 [1.00000118+1.56234701e-06j]
 [1.00000295+3.75072360e-06j]
 [1.00000076+8.72387684e-07j]
 [1.00000031+3.60592472e-07j]]"
15,,"[[3.065+0.11650282j]
 [4.621+0.02010974j]
 [6.272+0.12489764j]
 [0.95 +0.04276368j]
 [5.092+0.04819405j]
 [2.048+0.03766396j]
 [1.641+0.03532004j]]",(1.553059499315168e-05+0.0019182801986726838j),(6.556036554160868e-05+0.4508805991248508j),"[[-1.18445000e-05-2.11777227e-07j]
 [ 1.53250079e-06+5.82524623e-08j]
 [ 2.31050116e-06+1.00564273e-08j]
 [ 3.13600322e-06+6.24531419e-08j]
 [ 4.75000036e-07+2.13818909e-08j]
 [ 2.54600233e-06+2.41001429e-08j]
 [ 1.02400012e-06+1.88321346e-08j]
 [ 8.20500111e-07+1.76601670e-08j]]","[[-1.18445e-05+2.11777227e-07j]
 [ 1.53250e-06-5.82514086e-08j]
 [ 2.31050e-06-1.00548680e-08j]
 [ 3.13600e-06-6.24488219e-08j]
 [ 4.75000e-07-2.13818420e-08j]
 [ 2.54600e-06-2.40970250e-08j]
 [ 1.02400e-06-1.88319788e-08j]
 [ 8.20500e-07-1.76600183e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000054+6.67082496e-07j]
 [1.00000051+6.72669632e-07j]
 [1.00000106+1.35655785e-06j]
 [1.00000008+9.93102808e-08j]
 [1.00000093+1.21586199e-06j]
 [1.00000012+1.50011334e-07j]
 [1.00000014+1.78236333e-07j]]"
16,,"[[ 1.323+0.04990723j]
 [ 0.062+0.00173452j]
 [ 0.591+0.00747036j]
 [ 0.456+0.02980105j]
 [12.541+0.95873324j]
 [ 1.442+0.0362121j ]
 [ 1.912+0.00777509j]]",(2.917837787030919e-05+0.0019365656196823205j),(0.00015920978812849454+0.17740069793562152j),"[[-9.16350000e-06-5.44868062e-07j]
 [ 6.61500147e-07+2.49538093e-08j]
 [ 3.10000002e-08+8.67261818e-10j]
 [ 2.95500028e-07+3.73521830e-09j]
 [ 2.28000008e-07+1.49005358e-08j]
 [ 6.27051420e-06+4.79385643e-07j]
 [ 7.21000058e-07+1.81061281e-08j]
 [ 9.56000151e-07+3.88774806e-09j]]","[[-9.1635e-06+5.44868062e-07j]
 [ 6.6150e-07-2.49536130e-08j]
 [ 3.1000e-08-8.67261537e-10j]
 [ 2.9550e-07-3.73517994e-09j]
 [ 2.2800e-07-1.49005245e-08j]
 [ 6.2705e-06-4.79366622e-07j]
 [ 7.2100e-07-1.81060508e-08j]
 [ 9.5600e-07-3.88754628e-09j]]","[[1.        +0.00000000e+00j]
 [1.00000023+2.88016035e-07j]
 [1.00000001+8.87905665e-09j]
 [1.0000001 +1.28542888e-07j]
 [1.00000004+4.69274002e-08j]
 [1.00000248+2.84374051e-06j]
 [1.00000008+1.05090053e-07j]
 [1.00000016+2.10418251e-07j]]"
17,,"[[1.316+0.05519804j]
 [0.   +0.j        ]
 [0.   +0.j        ]
 [0.499+0.01688901j]
 [1.181+0.03999345j]
 [1.513+0.08048933j]
 [1.321+0.05009139j]]",(-1.7763568394002505e-09+0.0018974697368889792j),(-3.046924252830618e-08+0.7819418909249253j),"[[-8.8817842e-16+4.74367212e-10j]
 [ 0.0000000e+00+4.08859613e-11j]
 [ 0.0000000e+00+6.27107255e-11j]
 [ 0.0000000e+00+4.17137436e-11j]
 [ 0.0000000e+00+8.46758219e-11j]
 [ 0.0000000e+00+3.80842025e-11j]
 [ 0.0000000e+00+1.23326238e-10j]
 [ 0.0000000e+00+8.29709634e-11j]]","[[-8.8817842e-16-4.74367212e-10j]
 [ 0.0000000e+00-4.08859613e-11j]
 [ 0.0000000e+00-6.27107255e-11j]
 [ 0.0000000e+00-4.17137436e-11j]
 [ 0.0000000e+00-8.46758219e-11j]
 [ 0.0000000e+00-3.80842025e-11j]
 [ 0.0000000e+00-1.23326238e-10j]
 [ 0.0000000e+00-8.29709634e-11j]]","[[1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]]"
18,,"[[0.929+4.00509230e-02j]
 [0.   +0.00000000e+00j]
 [0.024+6.84209612e-05j]
 [0.898+1.67524909e-02j]
 [0.785+1.39372380e-02j]
 [1.81 +1.26766585e-01j]
 [0.624+1.61167048e-02j]]",(-1.7763568394002505e-09+0.0018974697368889792j),(-3.5036624051286995e-08+0.8879445736848757j),"[[-8.8817842e-16+4.74367212e-10j]
 [ 0.0000000e+00+4.08859613e-11j]
 [ 0.0000000e+00+6.27107255e-11j]
 [ 0.0000000e+00+4.17137436e-11j]
 [ 0.0000000e+00+8.46758219e-11j]
 [ 0.0000000e+00+3.80842025e-11j]
 [ 0.0000000e+00+1.23326238e-10j]
 [ 0.0000000e+00+8.29709634e-11j]]","[[-8.8817842e-16-4.74367212e-10j]
 [ 0.0000000e+00-4.08859613e-11j]
 [ 0.0000000e+00-6.27107255e-11j]
 [ 0.0000000e+00-4.17137436e-11j]
 [ 0.0000000e+00-8.46758219e-11j]
 [ 0.0000000e+00-3.80842025e-11j]
 [ 0.0000000e+00-1.23326238e-10j]
 [ 0.0000000e+00-8.29709634e-11j]]","[[1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]
 [1.+0.j]]"
19,,"[[1.158+0.06288273j]
 [0.   +0.j        ]
 [1.562+0.07677764j]
 [0.198+0.01715061j]
 [0.413+0.02489456j]
 [2.898+0.10831014j]
 [1.5  +0.05051153j]]",(1.3082506953310258e-06+0.0018992274089174588j),(1.6926519541092328e-05+0.5577314815826027j),"[[-3.86450000e-06-1.69314866e-07j]
 [ 5.79000113e-07+3.14415141e-08j]
 [ 1.12912369e-17+1.51289323e-17j]
 [ 7.81000200e-07+3.83890899e-08j]
 [ 9.90000016e-08+8.57530599e-09j]
 [ 2.06500015e-07+1.24473009e-08j]
 [ 1.44900023e-06+5.41553808e-08j]
 [ 7.50000093e-07+2.52558880e-08j]]","[[-3.86450000e-06+1.69314866e-07j]
 [ 5.79000000e-07-3.14413635e-08j]
 [ 1.12912369e-17-1.51289323e-17j]
 [ 7.81000000e-07-3.83888215e-08j]
 [ 9.90000000e-08-8.57530385e-09j]
 [ 2.06500000e-07-1.24472803e-08j]
 [ 1.44900000e-06-5.41550685e-08j]
 [ 7.50000000e-07-2.52557637e-08j]]","[[1.        +0.00000000e+00j]
 [1.00000021+2.48887649e-07j]
 [1.        +1.36702020e-11j]
 [1.00000027+3.30368222e-07j]
 [1.00000002+2.00442164e-08j]
 [1.00000008+9.48618422e-08j]
 [1.00000017+2.09217173e-07j]
 [1.00000013+1.61421389e-07j]]"
