First Solar 430 kW PV Array,GE 1.5 MW Turbine
0.00000238,-5
0.00000316,-5
-0.0000025,-5
-0.000016,-4.6
-0.0000024,-4.6
-0.000005,-4.7
-0.0000057,-4.8
-0.00000069,-4.6
0.00000264,-4.7
82.8,-4.4
162,-4.4
228,-4.5
66.9,-4.5
0.598,-4.4
25.9,-4.4
7.64,-4.9
-2.3,-4.7
-1.8,-4.8
-1.9,-4.9
-1.9,-5
-1.9,-5.1
-2,-5.2
-2,-5.6
-2,-5.3
-2,-5.3
-2.1,-5.3
9.66,-4.9
58.6,-5
148,-4.9
239,-5
310,-4.8
353,-4.6
345,-4.4
352,-4.5
252,-4.6
71.8,-4.7
180,-4.7
149,-4.6
60,-4.5
7.72,-4.6
-2.2,-5
-1.8,-5
-1.8,-5.1
-1.8,-5.1
-1.9,-5.2
-1.9,-5.3
-1.9,-5.2
-1.9,-5.5
-1.9,-5.2
-2,-5.1
6.62,-4.7
52.7,-5.1
145,-4.6
233,-4.7
306,-4.6
347,-4.9
380,-5.7
355,-5.9
283,-6.4
63,-5.1
111,-4.8
45.1,-4.8
63.1,-4.8
9.2,-4.7
-1.9,-4.9
-1.8,-5.1
-1.8,-5.2
-1.8,-5.2
-1.8,-5.3
-1.9,-5.4
-1.9,-5.4
-1.9,-5.5
-1.9,-5.8
-2,-5.5
7.6,-5.1
56.3,-5.2
152,-5.3
244,-4.9
311,-4.7
352,-4.6
384,-4.6
167,-4.5
363,-4.5
302,-4.6
148,-4.6
69.3,-4.7
47.8,-4.7
9.97,-4.8
-1.9,-5.1
-1.8,-5.2
-1.8,-5.2
-1.8,-5.3
-1.9,-5.3
-1.9,-5.3
-1.9,-5.4
-1.9,-5.4
-1.9,-5.3
-2,-5.3
6.47,-5.3
55.4,-4.9
154,-5.2
246,-4.8
312,-4.7
354,-4.7
378,-4.7
373,-4.7
350,-4.7
308,-4.6
240,-4.6
154,-4.6
61.3,-4.6
10.2,-4.7
-2,-5
-1.8,-5.1
-1.8,-5.1
-1.8,-5.2
-1.8,-5.2
-1.9,-5.3
-1.9,-5.3
-1.9,-5.3
-1.9,-5.3
-1.9,-5.3
7.4,-5.3
52.7,-4.8
135,-4.9
226,-5.4
301,-4.9
343,-4.8
364,-4.7
362,-4.8
336,-4.9
285,-4.9
226,-4.9
142,-4.9
59.6,-4.8
13,-5
-2,-5.2
-1.8,-5.3
-1.8,-5.4
-1.8,-5.5
-1.8,-5.4
-1.8,-5.4
-1.8,-5.5
-1.8,-5.5
-1.9,-5.5
-1.9,-5.5
8.31,-5.2
52.8,-5.5
136,-5
225,-5
297,-5
288,-5
363,-4.8
353,-4.8
338,-4.8
294,-4.6
206,-4.7
50.7,-4.6
11.6,-4.7
8.16,-4.7
-0.69,-4.9
-1.8,-5.1
-1.8,-5
-1.8,-5.2
-1.8,-5.2
-1.8,-5.2
-1.8,-5.3
-1.9,-5.4
-1.9,-5.3
-1.8,-5.2
8.81,-5
48.5,-5.2
81.7,-4.9
123,-4.8
292,-4.9
204,-4.9
290,-4.8
336,-4.8
288,-4.8
228,-4.7
29.2,-4.8
8.11,-4.9
13.4,-5
12.7,-4.7
-2,-5.2
-1.8,-5.2
-1.8,-5.2
-1.8,-5.2
-1.8,-5.3
-1.8,-5.3
-1.8,-5.2
-1.9,-5.4
-1.9,-5.3
-1.8,-5.5
4.88,-5.1
53.7,-4.9
159,-5
226,-4.7
307,-4.8
356,-4.9
377,-4.8
382,-4.8
312,-5
317,-4.9
234,-4.7
90.3,-4.9
30.6,-5
10.6,-4.8
-1.7,-5.1
-1.9,-5.3
-1.8,-5.2
-1.8,-5
-1.8,-5.2
-1.8,-5.2
-1.8,-5.1
-1.8,-5.2
-1.8,-5.2
-1.8,-5.2
10,-4.8
27.5,-5.3
-0.000009,-4.9
-0.000004,-4.8
-0.0000073,-4.8
-0.0000023,-5.3
0.00000615,-4.8
0.00000172,-4.7
0.00000508,-4.8
0.0000217,-4.8
0.00000593,-4.9
0.000000862,-4.8
-0.0000016,-4.8
0.00000286,-4.7
-0.0000033,-4.9
0.00000318,-5.1
0.0000174,-5
0.000000315,-5
0.00000387,-5.1
-0.0000067,-5.2
-0.0000063,-5.2
0.00000329,-5
-0.0000039,-5.6
-0.0000026,-5.4
-0.0000027,-5.1
-0.0000047,-5.4
-0.0000022,-4.9
0.000000177,-4.9
-0.000004,-4.8
-0.0000089,-4.9
-0.0000049,-4.8
0.00000279,-4.8
-0.0000018,-4.8
0.000000957,-4.9
0.0000072,-4.9
0.00000612,-4.7
0.0000136,-4.7
0.00000338,-4.8
0.00000428,-5
-0.0000037,-5.1
0.00000168,-5.2
-0.00000038,-5.3
0.000000929,-5.1
0.00000878,-5.3
0.00000458,-5.4
-0.0000031,-5.4
-0.0000043,-5.8
-0.0000034,-5.5
0.00000189,-5.3
-0.0000044,-5
-0.0000031,-5.6
-0.00001,-5
-0.0000068,-4.8
-0.000006,-4.7
-0.0000034,-4.8
0.00000134,-4.8
0.00000346,-4.7
0.00000106,-4.7
0.00000288,-4.8
0.0000113,-4.7
0.0000148,-4.8
0.0000172,-4.9
0.00000211,-5
-0.0000099,-4.9
-0.0000037,-5
0.00000435,-5.1
-0.0000074,-5.2
0.00000312,-5.3
0.00000297,-5.4
0.00000771,-5.4
-0.000002,-5.7
0.00000397,-5.5
-0.00000072,-5
4.61,-4.7
143,-5.1
235,-4.7
303,-4.9
344,-4.7
367,-4.9
367,-4.9
346,-4.8
300,-4.8
232,-4.9
144,-4.8
58.3,-4.7
9.79,-4.8
-2.1,-5.1
-1.8,-5.1
-1.8,-5.2
-1.8,-5.2
-1.8,-5.2
-1.8,-5.1
-1.9,-5.3
-1.9,-5.4
-1.9,-5.3
-1.9,-5.3
4.77,-5.1
52.8,-5.3
86.3,-5.5
49.7,-5.3
314,-5.2
358,-5.2
377,-5.2
376,-5.1
356,-5.1
312,-4.7
244,-4.9
153,-4.7
58.2,-4.6
8.32,-4.6
-2,-4.9
-1.8,-5
-1.8,-5
-1.7,-5.1
-1.7,-5.1
-1.8,-5.1
-1.8,-5.1
-1.8,-5.2
-1.8,-5.2
-1.8,-5.1
5.8,-4.9
52.1,-5.8
143,-5.2
234,-5.1
304,-5
346,-4.9
368,-6.7
363,-7.3
122,-7.1
0.0000046,-7
71.9,-7.1
112,-7.1
37.4,-7.2
10.2,-7
-1.8,-7.4
-1.8,-7.4
-1.8,-7.5
-1.8,-7.5
-1.7,-7.5
-1.8,-7.5
-1.8,-7.5
-1.8,-7.7
-1.8,-7.7
-1.8,-7.7
5.72,-7.4
52.4,-5.5
151,-5.1
250,-5.1
325,-5.2
359,-5.2
360,-7.5
378,-7.2
361,-7.4
310,-7
234,-7
82.1,-7
24.5,-7.2
-0.84,-7.2
-1.8,-7.5
-1.8,-7.4
-1.8,-7.3
-1.8,-7.4
-1.7,-7.5
-1.8,-7.5
-1.8,-7.5
-1.8,-7.6
-1.8,-7.7
-1.8,-7.7
3.26,-7.5
36.8,-7.6
114,-7.3
196,-7.2
256,-7.1
313,-7.1
376,-7
374,-7
352,-7
312,-7
128,-7
72.6,-7.2
15.6,-7.2
13.2,-7.4
-1.7,-7.7
-1.8,-7.8
-1.8,-7.7
-1.8,-7.6
-1.9,-7.7
-1.9,-7.8
-1.9,-7.6
-1.9,-7.7
-1.9,-8
-1.9,-7.7
-0.91,-7.5
12.5,-7.7
120,-7
103,-7.1
161,-7.6
145,-7.4
98.8,-7.4
107,-7.3
62.7,-7.6
70.3,-7.3
9.98,-7.3
16.1,-7.3
27,-7.4
1.15,-7.4
-1.8,-7.6
-1.9,-8
-1.9,-7.7
-1.9,-7.7
-1.9,-7.8
-1.9,-8
-2,-7.8
-2,-8.1
-2,-8
-2,-8.4
1.64,-7.8
35.8,-7.6
120,-8
211,-7.3
261,-7.9
295,-7.3
298,-7.2
275,-7.2
290,-7.2
303,-7.2
216,-7.2
81.4,-7.1
48.5,-7.2
10.2,-7.3
-1.8,-7.6
-1.8,-7.7
-1.8,-7.8
-1.8,-7.8
-1.9,-7.7
-1.9,-7.8
-1.9,-7.9
-1.9,-7.9
-1.9,-7.9
-1.9,-8.3
4.97,-7.6
48.6,-7.4
131,-7.7
233,-7.3
294,-7.2
337,-7.2
371,-7.2
365,-7.1
330,-7.1
290,-7.1
112,-7
14,-7.1
2.7,-7.3
3.16,-7.4
-1.8,-7.5
-1.8,-7.5
-1.8,-7.6
-1.8,-7.6
-1.8,-7.5
-1.8,-7.6
-1.9,-8.1
-1.9,-7.9
-1.9,-7.7
-1.8,-7.7
-1.8,-7.7
3.05,-7.7
21.7,-7.3
120,-7.5
118,-7.7
-0.00000042,-7.4
0.000000498,-7.4
-0.0000045,-7.3
-0.00039,-7.3
8.2,-7.4
-3.1,-7.4
0.00000123,-7.4
0.00000158,-7.4
0.0000108,-7.4
0.0000119,-7.9
0.0000181,-7.7
0.0000095,-7.6
0.00000181,-7.6
0.00000355,-7.7
0.00000489,-8
0.0000121,-7.7
0.00000784,-7.7
-0.00000095,-7.7
-0.00000011,-7.8
0.00000412,-7.9
-0.00000062,-7.3
-0.0000047,-7.3
-0.0000073,-7.3
-0.000001,-7
-0.0000013,-7.7
-0.0000027,-7.4
0.00000179,-7.4
-0.00000054,-7.3
-0.00000023,-7.3
0.00000465,-7.2
0.0000067,-7.1
0.00000808,-7.1
0.0000118,-7.1
0.00000878,-7.4
0.0000114,-7.5
0.000000485,-7.6
0.00000274,-7.6
0.00000199,-7.7
-0.0000015,-7.9
0.00000388,-7.9
-0.0000072,-8
-0.0000065,-8.3
0.00000721,-8
0.00000638,-7.7
-0.00001,-7.5
-0.000015,-7.9
0.00000477,-7.6
-0.0000027,-7.1
-0.0000034,-7.1
-0.0000074,-7
1.14E-08,-7
0.00000449,-7.1
0.00000307,-7
0.00000173,-7
0.00000769,-6.9
0.0000133,-6.9
0.0000178,-7.1
0.00000864,-7.5
0.00000476,-7.6
0.0000011,-7.5
0.00000649,-7.6
0.00000151,-7.7
0.00000502,-7.7
0.00000849,-7.8
0.00000388,-7.7
0.0000173,-7.7
-0.00000086,-7.6
-0.0000034,-7.6
-0.00001,-7.3
-0.0000067,-7.3
-0.0000016,-7.1
0.00000381,-7.1
-0.0000045,-7
-0.0000008,-7
0.00000782,-6.9
0.00000294,-6.9
0.0000218,-7
-0.000015,-6.9
0.0000214,-6.9
0.0000102,-7
0.00000992,-7
0.00000416,-7.4
0.00000884,-7.5
0.00000392,-7.6
0.00000999,-7.5
0.00000204,-7.4
-0.000004,-7.5
0.00000194,-7.8
0.00000468,-7.8
0.0000117,-7.8
0.00000536,-7.9
0.00000277,-7.7
0.0000037,-7.6
-0.0000073,-8
-0.0000025,-7.5
0.00000235,-7.5
0.0000019,-7.4
0.00000488,-7.4
0.00000407,-7.4
0.00000284,-7.4
-0.0000034,-7.3
0.00000097,-7.4
0.00000651,-7.4
0.0000122,-7.2
0.00000965,-7.2
0.0000184,-7.6
0.0000182,-7.7
8.78E-08,-7.8
0.00000482,-7.7
0.00000838,-7.8
0.00000338,-7.9
-0.0000079,-8.3
0.00000311,-8
0.0000011,-8
0.00000366,-8.1
0.00000537,-8.1
-0.0000037,-7.8
-0.0000031,-7.9
0.00000364,-7.5
-0.0000073,-7.3
-0.000001,-7.1
0.00000585,-7.1
0.00000726,-7
0.00000481,-6.9
0.00000663,-6.9
0.0000087,-7
0.000013,-7
0.00000613,-7
0.0000163,-7.1
0.0000128,-7.5
-0.00000094,-7.6
0.000000943,-7.6
0.000000997,-7.6
0.0000038,-7.6
-9.90E-09,-7.6
0.00000202,-7.6
0.00000586,-7.6
0.00000849,-7.6
-0.0000042,-7.6
0.00000129,-7.7
0.00000507,-7.3
0.00000103,-7.1
-0.0000033,-7.9
-0.0000026,-7.6
0.00000356,-7.6
0.00000745,-7.5
0.00000296,-7.5
0.00000633,-7.6
0.00000845,-7.6
0.00000816,-7.6
0.0000162,-7.6
0.00000895,-7.7
0.0000101,-7.7
0.0000109,-7.8
0.00000674,-7.9
-0.00000068,-8.1
0.00000808,-8
0.00000894,-8.1
0.00000264,-8.1
0.00000914,-8.1
0.0000104,-8.2
-0.0000095,-8.3
-0.0000031,-8.5
-0.000002,-8.3
0.00000144,-7.9
0.00000208,-8.2
-0.0000027,-7.4
-0.000012,-7.1
-0.0000096,-7.1
-0.0000011,-7
0.000000998,-6.9
0.00000437,28.5
0.00000153,52
0.0000113,69.7
0.0000117,-7.2
-0.0000011,-6.8
0.000000642,-6.7
-0.00000055,-7.1
0.000000923,-7.1
0.000000422,-7.2
0.00000125,-7.3
-0.0000009,-7.4
0.00000198,-7.5
0.00000424,-7.6
-0.0000083,-7.5
0.00000127,-7.7
-0.000000094,-7.7
0.0000114,-7.6
-0.000012,-6.1
-0.0000091,-5.1
-0.0000063,-5
28.8,-4.9
47.7,-5
99.9,-6.4
78.1,-7.1
99.7,-7
-132,-7
118,-7.2
0.00000318,-6.8
0.00000774,-6.9
0.0000124,-7
0.00001,-7.3
-0.0000015,-7.4
-0.0000019,-7.4
-0.0000024,-7.4
0.00000214,-7.5
-0.00000006,-7.6
-0.0000004,-7.7
-0.0000049,-7.6
0.00000114,-7.5
0.00000431,-7.6
0.0000133,-7.8
-0.000014,-7.2
-0.000011,-7.2
-3.7,-7.3
-100,-7.3
50.4,-7.3
-261,-7.2
-86,-7.2
-4.2,-7.2
-4.2,-7.2
353,-7.2
5.74,-7.1
0.0000205,-7
0.0000139,-7.1
0.00000854,-7.4
0.00000203,-7.5
0.00000222,-7.6
0.00000614,-7.6
0.0000125,-7.7
0.0000125,-7.8
0.0000104,-7.9
0.00000458,-8
0.00000969,-7.8
0.00000807,-7.8
0.00000198,-7.6
-0.0000026,-7.8
-118,-5.2
-42,-5.6
-0.044,-5.1
-201,-5.2
-5.7,-6.7
0.00000107,-7
3.29E-08,-7.4
0.00000834,-7.1
0.00000877,-7.1
0.00000185,-7.1
0.0000069,-7.2
0.00000473,-7.2
0.00000187,-7.3
0.0000019,-7.3
0.00000204,-7.4
0.00000924,-7.4
-0.00000096,-7.4
0.00000137,-7.5
-0.00000023,-8
0.000000385,-7.6
0.00000702,-7.6
-0.0000036,-7.6
-0.00001,-7.4
-0.000004,-7.7
-0.000017,-7.5
-0.0000042,-7.1
-0.00001,-6.9
-0.0000032,-6.8
0.00000032,-6.8
0.000000184,-6.8
0.00000402,-6.7
0.00000369,-6.7
-0.0000012,-6.7
0.0000068,-6.7
0.0000131,-6.9
0.00000557,-6.9
0.00000144,-7.1
0.00000165,-7.1
0.00000317,-7.1
-0.00000087,-7.2
-0.0000014,-7.3
0.000000144,-7.3
-0.0000021,-7.4
0.00000481,-7.5
0.00000433,-7.6
-0.0000011,-7.9
0.00000152,-7.5
-0.000009,-7.2
-0.000014,-7.5
-0.0000029,-7.1
-0.000017,-6.9
0.00000366,-6.8
-0.0000077,-6.9
-0.00000048,-6.9
0.00000757,-7
0.0000145,-7
-0.0000015,-7
0.00000242,-7
0.00000987,-7.1
0.0000017,-7.1
0.00000333,-7.1
0.0000034,-7.2
0.00000686,-7.3
0.00000399,-7.4
0.00000324,-7.5
-0.0000074,-7.6
0.00000509,-7.9
0.0000068,-7.7
6.41E-08,-7.7
-0.0000019,-7.6
-0.0000036,-7.3
-0.0000075,-7.5
-0.000013,-6.1
-0.0000069,-5.3
-0.0000069,-4.8
-0.0000084,-4.9
0.00000138,-4.6
0.00000354,-4.4
0.00000535,-4.4
0.00000324,-4.3
0.00000361,-4.4
0.00000385,-4.4
0.000012,-4.4
0.00002,-4.5
0.00000568,-4.9
0.00000363,-4.6
0.00000156,-4.7
0.00000237,-4.8
-0.0000034,-4.8
-0.0000013,-4.9
0.000000992,-5
-0.0000051,-5
-0.0000052,-5
0.000000848,-5.3
0.00000383,-4.8
-0.000012,-4.5
-0.0000069,-5
-0.000011,-5.2
-0.000012,-5
-0.000004,-5.2
0.000000729,-5.1
0.00011,-5
0.000000071,-4.8
6.76,-4.3
11.8,-4.3
-0.33,-4.4
0.000000287,-4.4
0.00000111,-4.4
0.00000285,-4.7
-0.0000035,-4.7
-0.0000021,-4.7
-0.0000033,-4.7
0.000000642,-4.7
0.00000358,-4.8
0.00000804,-4.8
-0.0000047,-4.9
-0.00000067,-4.8
-0.0000038,-5.1
0.00000944,-4.6
-0.0000031,-4.9
-0.0000073,-5.3
-73,-5
3.47,-4.9
-1.7,-4.9
0.00000411,-4.3
0.00000769,-4.1
-0.16,-4.4
-19,-4.7
76.3,-4.5
42.8,-4.3
0.0000153,-4.3
0.0000133,-4.4
0.00000578,-4.6
0.00000694,-4.5
0.00000714,-4.4
0.00000474,-4.5
0.0000078,-4.6
0.00000173,-4.7
0.00000491,-4.7
0.0000111,-4.7
0.0000072,-4.7
0.0000122,-4.7
0.00000233,-4.5
0.000000889,-5
-42,-5
-240,-4.7
67.4,-5
-1.9,-5.5
159,-4.7
106,-4.4
-0.64,-3.4
-80,-3.6
18,-3.7
13.8,-3.4
0.000018,-3.4
0.00000931,-3.4
0.00000035,-3.6
-0.0000088,-3.7
0.000000476,-4.2
0.00000297,-3.8
0.0000101,-3.8
-0.00000036,-3.8
0.00000455,-3.8
-0.0000018,-3.8
-0.0000052,-3.8
-0.0000031,-3.8
0.00000122,-3.6
-0.00000085,-4.5
-0.00001,-4.6
-0.0000054,-4.6
-0.000011,-3.6
-0.0000058,-3.7
-0.0000023,-4.1
-1.3,-3.6
-0.55,-6.6
0.00000525,-5.7
0.00000067,-3.6
0.00000456,-3.5
0.00000209,-3.5
0.00000293,-3.5
0.0000136,-3.9
0.0000139,-4
0.00000102,-3.9
0.000000235,-3.8
0.00000379,-4
-0.00000046,-4
-0.0000039,-3.9
-0.00000072,-4
-0.00000046,-4.3
0.00000376,-4
0.00000157,-3.8
-0.0000014,-3.7
-0.000005,-4
-0.000023,-3.7
-0.000011,-4
-0.000002,-3.8
-0.0000059,-3.7
-0.0000036,-3.4
-0.0000018,-3.5
0.00000867,-3.5
0.000000587,-3.4
0.00000954,-3.6
0.0000303,-3.5
0.00000404,-3.5
0.0000014,-3.6
-0.0000035,-3.9
0.0000039,-3.9
0.000000982,-3.8
0.00000561,-4
-0.0000048,-4.3
-0.0000016,-4
0.00000206,-3.9
0.000000545,-4
-0.00000087,-4.1
-0.0000016,-4.1
-0.0000046,-3.7
-0.000015,-4
-0.000019,-4
-0.0000036,-3.9
-0.0000028,-3.7
-0.000011,-3.5
-0.00000086,-3.4
0.00000793,-3.6
0.00000167,-3.6
0.00000167,-3.6
0.00000411,-3.5
0.0000164,-3.6
0.0000163,-3.7
0.000000152,-3.9
0.0000021,-4.1
0.00000017,-4.1
0.00000516,-4.1
0.0000015,-4
0.00000119,-4.2
-0.0000017,-4.2
0.000000604,-4.1
0.00000033,-4.1
0.00000515,-4.1
0.00000878,-3.9
-0.000019,-3.9
-0.00002,-3.7
-0.0000018,-3.6
-0.0000016,-3.6
-0.0000053,-3.7
-0.046,-3.7
-0.011,-3.7
-0.0000036,-3.6
-0.021,-3.9
-0.06,-4.1
-0.0042,-3.9
0.0000149,-4
0.0000222,-4.1
0.00000943,-4.4
0.00000232,-4.3
0.0000111,-4.4
0.0000145,-4.4
0.00000966,-4.4
0.0000076,-4.5
0.00000888,-4.6
0.00000983,-4.6
0.0000196,-4.5
0.00000926,-4.6
0.00000139,-4.5
-0.0000053,-4.6
-0.0000071,-4.2
0.000000967,-4
-0.0000028,-3.9
0.000000623,-3.9
-0.5,-3.8
-20,-3.5
-54,-3.4
72.7,-3.5
76.4,-3.6
-47,-3.5
0.00000952,-3.4
0.0000207,-3.6
0.00000267,-3.9
0.00000124,-3.8
0.000008,-3.9
-0.0000011,-3.9
-0.000003,-4
-0.0000079,-3.9
0.00000716,-4.1
0.00000458,-4.1
0.00000379,-4
0.00000426,-4.1
-0.00000018,-3.9
-0.000004,-3.7
-0.003,-4.2
-0.00088,-4.2
-50,-4.2
-79,-4.2
-226,-4
-170,-3.8
65.6,-3.8
0.0000028,-3.7
-2.7,-3.9
-1.1,-3.7
0.0000145,-3.6
0.000016,-3.8
0.00000511,-4.1
-0.0000024,-4.1
-0.0000051,-4
0.00000355,-4.1
0.00000016,-4.1
0.00000322,-4.1
0.00000469,-4.2
0.00000365,-4.2
0.00000544,-4.1
0.00000213,-4
0.00000312,-3.9
-0.0000085,-4.3
-0.000021,-4.3
-2.9,-4.2
-4.1,-4
-4.2,-3.8
-0.3,-3.7
-3.1,-3.9
9.94,-5
197,-3.7
-3.5,-3.8
-0.0000015,-3.7
0.00000546,-3.8
0.00000363,-3.9
0.00000529,-4
0.0000029,-4.1
-0.000001,-4.1
-0.0000032,-4.1
0.00000849,-4
0.00000141,-4.1
-0.0000097,-4.4
0.00000195,-4
0.00000242,-4.1
0.00000532,-4.1
-0.00000019,-3.9
-0.000018,-4.6
-0.00002,-4.2
-0.034,-4.3
-0.059,-4.1
-0.055,-3.8
-0.052,-3.6
-0.06,-3.7
-0.058,-3.6
-0.046,-4.2
-0.054,-3.6
-0.001,-3.6
0.0000145,-3.7
0.0000101,-3.9
0.000000775,-4
-0.0000014,-3.9
-0.0000025,-4.1
0.00000211,-4.1
-0.0000014,-4
0.000000221,-4.1
-0.0000042,-4.1
0.0000123,-4.2
-0.0000058,-4.1
0.00000405,-4.2
0.00000813,-4.1
-0.000011,-3.9
-0.000017,-4.1
-0.00000053,-3.8
-0.000011,-3.7
-0.000011,-3.6
-0.0000041,-3.7
0.000000451,-3.7
0.00000113,-3.6
0.00000212,-3.7
0.000000133,-3.7
0.00000723,-3.7
0.0000117,-3.6
0.00000992,-3.8
-0.0000025,-4
0.00000127,-4
0.00000388,-4.1
0.00000999,-4.1
-0.0000033,-4.1
0.00000251,-4
0.00000477,-4.1
0.00000108,-4.1
-0.0000034,-4
0.00000201,-4.1
0.00000539,-4.1
0.00000157,-3.8
-0.0000085,-4
-0.000017,-3.9
-0.0000051,-4
0.000000819,-3.7
-0.000000092,-3.6
-0.0000091,-3.7
-0.0000053,-3.7
0.00000135,-3.6
0.00000704,-3.8
0.00000649,-3.7
0.00000971,-3.6
0.0000137,-3.9
0.00000123,-4.1
0.000000761,-4.1
0.00000505,-4.1
0.00000309,-4.1
0.0000122,-4.1
-0.0000005,-4
0.00000862,-4.1
0.00000161,-4.1
-0.0000013,-4.1
-0.0000071,-4
