,Year,Cumulative cash flow,Investor cash flow,Monetized tax losses,Gross margin,Cost of goods sold ($/year),Cost of goods sold ($/kg),Average utilization,Hydrogen sales (kg/day),Capacity covered by TOPC (kg/day),Cost of Hydrogen ($/kg),Hydrogen sales (kg/year),Sales revenue of Hydrogen ($/year),Value of Water ($/gal),Water expenses ($/year),Value of Electricity PTC ($/kg),Electricity PTC ($/year),Value of H2 PTC ($/kg),H2 PTC ($/year),Annual operating incentive ($/year),Incidental revenue ($/year),Credit card fees ($/year),Sales tax ($/year),Road tax ($/year),Total revenue ($/year),Total feedstock/utilities cost ($/year),Labor ($/year),Total annual maintenance ($/year),Rent of land ($/year),Property insurance ($/year),Licensing & permitting ($/year),Administrative expense ($/year),TOPC revenue ($/year),Wind and Electrical Export Fixed O&M Cost expenses ($/year),Wave O&M Cost expenses ($/year),Solar O&M Cost expenses ($/year),Battery O&M Cost expenses ($/year),Electrolysis System Fixed O&M Cost expenses ($/year),Hydrogen Storage Fixed O&M Cost expenses ($/year),Total operating expense ($/year),EBITD ($/year),Interest on outstanding debt ($/year),Depreciation ($/year),Taxable income ($/year),Remaining available deferred carry-forward tax losses ($/year),Income taxes payable ($/year),Income before extraordinary items ($/year),Sale of non-depreciable assets ($/year),Net capital gains or loss ($/year),Capital gains taxes payable ($/year),Net income ($/year),Net annual operating cash flow ($/year),Capital expenditure for Wind System ($/year),Capital expenditure for Wave System ($/year),Capital expenditure for Solar System ($/year),Capital expenditure for Battery System ($/year),Capital expenditure for Electrical Export system ($/year),Capital expenditure for Electrolysis System ($/year),Capital expenditure for Hydrogen Storage System ($/year),Expenditure for non-depreciable fixed assets ($/year),Capital expenditures for equipment installation ($/year),Total capital expenditures ($/year),Incurrence of debt ($/year),Repayment of debt ($/year),Inflow of equity ($/year),Dividends paid ($/year),One-time capital incentive ($/year),Net cash for financing activities ($/year),Net change of cash ($/year),Cumulative cash ($/year),Cumulative PP&E ($/year),Cumulative depreciation ($/year),Net PP&E ($/year),Cumulative deferred tax losses ($/year),Total assets ($/year),Cumulative debt ($/year),Total liabilities ($/year),Cumulative capital incentives equity ($/year),Cumulative investor equity ($/year),Retained earnings ($/year),Retained earnings no dividends ($/year),Total equity ($/year),Investor equity less capital incentive ($/year),Returns on investor equity,Debt/Equity ratio,Returns on total equity,Debt service coverage ratio (DSCR)
10,2040,282870786.9612044,232028466.10358292,24280370.20185424,0.7403904235821271,496771245.8595871,6.867817831965024,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.007642923,22077657.32580474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,22077657.32580474,0.0,0.0,0.0,1679256.951847708,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,104477774.64358601,297964138.65246475,90193433.88517942,302100037.33082163,-94329332.56353629,0,-24280370.20185424,-70048962.36168204,0.0,0.0,0.0,-70048962.36168204,232051074.96913958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-232028466.10358292,0.0,-232028466.10358292,22608.865556672215,14199236.5272426,3302367250.4518137,-3190416786.9953,111950463.45651388,-0.0,126149699.98375648,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-3181048981.5261774,-1551706336.645896,-1834577123.6071005,-1834577123.6071005,0.03818262064881388,-1.0687622767996385,0.03818262064881388,-0.2343924165128999
11,2041,446319447.43838,163448660.47717556,-0.0,0.7406061525173607,250414897.56767344,3.461963455491679,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.007902782,22828296.57142141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,22828296.57142141,0.0,0.0,0.0,841799.340782361,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,104390956.27813733,298050957.01791346,90193433.88517942,55830507.40435669,152027015.72837737,0,39131753.84848434,112895261.87989303,0.0,0.0,0.0,112895261.87989303,168725769.28424972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-163448660.47717556,0.0,-163448660.47717556,5277108.807074156,19476345.334316757,3302367250.4518137,-3246247294.3996563,56119956.0521574,-0.0,75596301.38647416,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-3231602380.12346,-1438811074.766003,-1885130522.204383,-1885130522.204383,-0.0598872388676189,-1.040101361946055,-0.0598872388676189,0.3777613879311343
12,2042,603986361.660987,157666914.22260705,-0.0,0.7393352750146971,212743104.52448034,2.9411543020221447,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.008171477,23604459.844969645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,23604459.844969645,0.0,0.0,0.0,577090.4409709596,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,104902410.65187415,297539502.6441766,90193433.88517942,17647259.987426754,189698808.77157044,0,48828473.37780224,140870335.3937682,0.0,0.0,0.0,140870335.3937682,158517595.38119495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-157666914.22260705,0.0,-157666914.22260705,850681.1585878953,20327026.492904652,3302367250.4518137,-3263894554.387083,38472696.064730644,-0.0,58799722.55763529,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-3248398958.9522986,-1297940739.3722348,-1901927101.0332217,-1901927101.0332217,-0.07406715815618821,-1.030915865558513,-0.07406715815618821,0.47136941383145936
13,2043,762065404.7270508,158079043.06606376,-0.0,0.7379980767461486,213261080.8570027,2.9483152782716404,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.008449307,24407010.84997497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,24407010.84997497,0.0,0.0,0.0,312684.06561648846,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,105440555.28152502,297001358.0145258,90193433.88517942,17627091.69029827,189180832.4390481,0,48695146.26981099,140485686.16923714,0.0,0.0,0.0,140485686.16923714,158112777.8595354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-158079043.06606376,0.0,-158079043.06606376,33734.79347163066,20360761.286376283,3302367250.4518137,-3281521646.077381,20845604.374432564,-0.0,41206365.66080885,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-3265992315.8491254,-1157455053.2029977,-1919520457.9300485,-1919520457.9300485,-0.0731879077343789,-1.0214670104142802,-0.0731879077343789,0.4700823303657237
14,2044,919729167.9711727,157663763.24412194,-0.0,0.7365938216876353,213846380.24663493,2.9564069897357346,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.008736584,25236850.842290115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,25236850.842290115,0.0,0.0,0.0,47975.16580508709,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,106005686.37402876,296436226.92202204,90193433.88517942,17647259.987426754,188595533.0494159,0,48544490.206919655,140051042.84249622,0.0,0.0,0.0,140051042.84249622,157698302.82992297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-157663763.24412194,0.0,-157663763.24412194,34539.585801035166,20395300.872177318,3302367250.4518137,-3299168906.064808,3198344.387005806,-0.0,23593645.259183124,1960726823.5908568,1960726823.5908568,0.0,1346471857.919077,-3283605036.2507515,-1017404010.3605015,-1937133178.3316746,-1937133178.3316746,-0.07229809721348791,-1.012179671239487,-0.07229809721348791,0.46862796050439753
15,2045,906228486.7650923,-13500681.206080494,-0.0,0.7289057340036985,251912216.18454397,3.4826637508142935,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.009033627,26094901.298251666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,26094901.298251666,0.0,0.0,0.0,2283933.426954882,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,109099695.09114009,293342218.2049107,90193433.88517942,52619087.20822446,150529697.11150682,0,38746344.036501855,111783353.07500497,0.0,0.0,0.0,111783353.07500497,164402440.2832294,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,-0.0,0,201682971.2848772,23221171.67445845,0.0,13500681.206080494,0.0,0.0,36721852.88053895,-558678.121108871,19836622.751068447,3504050221.736691,-3351787993.273032,152262228.4636588,-0.0,172098851.21472725,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3171821683.1757464,-905620657.2854966,-1811849144.050589,-1811849144.050589,-0.06169572861077215,-1.0949851988394466,-0.06169572861077215,0.3740408047428493
16,2046,1066958641.6175857,160730154.85249346,-0.0,0.7283120614882257,243820882.32269195,3.3708017872969513,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.009340771,26982129.912445076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,26982129.912445076,0.0,0.0,0.0,1635623.515759642,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,109338613.79413827,293103299.50191253,91261607.78220451,43220660.74634918,158621030.97335884,0,40829053.37254257,117791977.60081628,0.0,0.0,0.0,117791977.60081628,161012638.34716547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-160730154.85249346,0.0,-160730154.85249346,282483.4946719967,20119106.245740443,3504050221.736691,-3395008654.0193815,109041567.71730947,-0.0,129160673.96304992,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3214759860.4274235,-787828679.6846803,-1854787321.3022661,-1854787321.3022661,-0.06350699956160648,-1.0696363795889892,-0.06350699956160648,0.3941463991020028
17,2047,1224164017.0816927,157205375.46410692,-0.0,0.727183384677259,231932111.33535582,3.206440596774153,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.009658357,27899521.71129913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,27899521.71129913,0.0,0.0,0.0,1172458.5722039223,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,109792840.64943661,292649072.6466142,91261607.78220451,30877662.9037147,170509801.96069497,0,43889223.02468289,126620578.93601209,0.0,0.0,0.0,126620578.93601209,157498241.8397268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-157205375.46410692,0.0,-157205375.46410692,292866.3756198883,20411972.62136033,3504050221.736691,-3425886316.923096,78163904.81359482,-0.0,98575877.43495515,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3245344656.9555182,-661208100.7486682,-1885372117.830361,-1885372117.830361,-0.06715946297207571,-1.0522845736938091,-0.06715946297207571,0.42368798161254595
18,2048,1378701868.0865898,154537851.00489706,-0.0,0.7256479479155427,223716321.3012084,3.092858037859005,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.009986741,28848105.050850905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,28848105.050850905,0.0,0.0,0.0,841799.3407823682,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,110410764.75756682,292031148.538484,91261607.78220451,22043948.761437077,178725591.99484238,0,46003967.379472435,132721624.61536995,0.0,0.0,0.0,132721624.61536995,154765573.37680703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-154537851.00489706,0.0,-154537851.00489706,227722.37190997973,20639694.99327031,3504050221.736691,-3447930265.684533,56119956.05215788,-0.0,76759651.04542819,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3267160883.3450456,-528486476.1332983,-1907188344.2198882,-1907188344.2198882,-0.06959020330509522,-1.0402475462258682,-0.06959020330509522,0.4441028284828906
19,2049,1531665313.2774804,152963445.1908906,-0.0,0.7238684958061535,220035758.63871935,3.0419745898016033,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.01032629,29828940.06218357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,29828940.06218357,0.0,0.0,0.0,577090.4409709668,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,111126890.86908808,291315022.42696273,91261607.78220451,17647259.987426754,182406154.65733147,0,46951344.20879712,135454810.44853434,0.0,0.0,0.0,135454810.44853434,153102070.4359611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-152963445.1908906,0.0,-152963445.1908906,138625.24507049844,20778320.23834081,3504050221.736691,-3465577525.67196,38472696.06473112,-0.0,59251016.30307193,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3284669518.087402,-393031665.6847639,-1924696978.9622445,-1924696978.9622445,-0.07037721362329392,-1.0307845946404601,-0.07037721362329392,0.45324840338671907
20,2050,1684158575.8861911,152493262.60871086,-0.0,0.7220054244748683,220765368.33276033,3.0520613782557913,1.0,198173.15270208023,0.0,5.563723286121834,72333200.73625928,402441913.2960508,0.010677384,30843124.428707488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,402441913.2960508,30843124.428707488,0.0,0.0,0.0,312684.0656164956,0.0,0.0,0.0,41275125.281676605,0.0,2001.0,42.888,32925985.047892097,6517706.148364854,111876668.86025754,290565244.4357933,91261607.78220451,17627091.69029827,181676544.9632905,0,46763542.67355098,134913002.28973955,0.0,0.0,0.0,134913002.28973955,152540093.9800378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,-152493262.60871086,0.0,-152493262.60871086,46831.371326942,20825151.609667752,3504050221.736691,-3483204617.362258,20845604.37443304,-0.0,41670755.98410079,1983947995.2653153,1983947995.2653153,0.0,1359972539.1251574,-3302249778.406373,-258118663.39502436,-1942277239.2812157,-1942277239.2812157,-0.06946124866276412,-1.021454586987551,-0.06946124866276412,0.45143544685824666
